intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire_min,salaire_max,salaire,description
Consultant Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852760?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-06-21,https://www.adzuna.fr/details/4746040376?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852043?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Nouvelle-Aquitaine,CDD,,2024-05-14,https://www.adzuna.fr/details/4692846086?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Consultant Immobilier (H/F),Unknown,SAFTI,Hauts-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692846187?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Consultant Immobilier (H/F),Unknown,SAFTI,Auvergne-Rhône-Alpes,CDD,,2024-05-14,https://www.adzuna.fr/details/4692845852?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-06-19,https://www.adzuna.fr/details/4743966653?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Provence-Alpes-Côte d'Azur,CDD,,2024-05-14,https://www.adzuna.fr/details/4692846870?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Bretagne,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853729?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Nouvelle-Aquitaine,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853918?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Nouvelle-Aquitaine,CDD,,2024-06-07,https://www.adzuna.fr/details/4725204238?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
MEDECIN COORDONNATEUR (F/H),Healthcare & Nursing Jobs,Conseil et Recrut Midi Pyrenées,Occitanie,CDI,,2024-10-25,https://www.adzuna.fr/details/4914089855?utm_medium=api&utm_source=e74b959f,,,,"L'Appel Médical est le n°1 de l'intérim et du recrutement médical, paramédical, médico-social et pharmaceutique en France et compte près de 95 agences forcément proches de chez vous ( d'infos sur ). Intérim, libéral, vacation, CDD, CDI l'Appel Médical est le véritable partenaire emploi des professionnels de santé, des cadres de santé et des médecins. Nos consultants CDI-CDD vous proposent d'évaluer ensemble vos compétences et de trouver l'emploi qui réponde à vos objectifs personnels et profess…"
Consultant Immobilier (H/F),Unknown,SAFTI,Auvergne-Rhône-Alpes,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852626?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692845870?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Auvergne-Rhône-Alpes,CDD,,2024-05-14,https://www.adzuna.fr/details/4692849390?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Normandie,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853303?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852578?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Pays de la Loire,CDD,,2024-05-14,https://www.adzuna.fr/details/4692846036?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Consultant Immobilier (H/F),Unknown,SAFTI,Hauts-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852636?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852223?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
