intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire_min,salaire_max,salaire,description
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Hauts-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853055?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853900?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852604?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Occitanie,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852740?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-14,https://www.adzuna.fr/details/4692847457?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Centre-Val de Loire,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853376?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Bretagne,CDD,,2024-05-14,https://www.adzuna.fr/details/4692852399?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-14,https://www.adzuna.fr/details/4692846073?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692849052?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Hauts-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853643?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Grand Est,CDD,,2024-05-15,https://www.adzuna.fr/details/4693360626?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Agent Commercial Immobilier (H/F),Unknown,SAFTI,Île-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692853635?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI? Devenir Agent Indépendant en Immobilier SAFTI, c'est être l'interlocuteur entre les vendeurs et les acquéreurs de biens immobiliers. Vous accompagnez vos clients jusqu'à la signature de l'acte de vente chez le notaire En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnel…"
Consultant Immobilier (H/F),Unknown,SAFTI,Hauts-de-France,CDD,,2024-05-14,https://www.adzuna.fr/details/4692847375?utm_medium=api&utm_source=e74b959f,2500.0,8333.333333333334,,"Nous recrutons et formons des agents indépendants en immobilier. POURQUOI PAS VOUS ? Pourquoi rejoindre SAFTI ? Le secteur de l’immobilier est en pleine croissance. SAFTI offre la possibilité à celles et ceux qui le souhaitent de travailler comme agent immobilier indépendant. En vous appuyant sur le réseau immobilier SAFTI, vous bénéficiez d'une formation immobilière complète qui vous permettra de démarrer votre nouvelle activité professionnelle en toute sérénité  TRAVAILLER AVEC SAFTI Travaill…"
