title,company,location,description,employment_type,contract_type,date_posted,job_url
Staff Software Engineer - Bits AI (EMEA),Datadog,"Ile-de-France, France","Datadog is building AI-assisted agents to help our users solve operational and security related problems in an automated way. This ambitious project consumes data about our customers' systems, discovers potential problems, proposes solutions, and offers those solutions to users with manual and automated steps. The goal for the team is to provide pathways to resolve problems identified across Datadog products. We're looking for a security-minded Staff Software Engineer with ML/AI or security eng…",permanent,,2024-11-11,https://www.adzuna.fr/land/ad/4934804840?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=2BB0A4EF084039BA94577B03B8CDDCB50823E041
Architecte AI & Data R&D (H/F),ATOS FRANCE,"Auvergne-Rhône-Alpes, France","Eviden , qui fait partie du groupe Atos, avec un chiffre d'affaires annuel d'environ 5 milliards d'euros, est un leader mondial de la transformation numérique axée sur les données, fiable et durable. En tant qu'entreprise numérique de nouvelle génération, avec des positions de leader mondial dans les domaines du numérique, du cloud, des données, de l'informatique avancée et de la sécurité, elle apporte une expertise approfondie à tous les secteurs d'activité dans plus de 47 pays. En réunissant …",permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928473760?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=0988B8794EA3CD14BA868B6004A8129F61FBECDC
AI Materials Scientist,altrove,"Paris, Ile-de-France","About Altrove Founded by a successful repeat entrepreneur and a top technical CTO (PhD Materials Science from Cambridge University), we're a rapidly growing startup, supported by top investors and partners. We're tackling the biggest materials challenges of the century, solving the mineral crisis threatening the energy transition. At altrove, we are bridging the gap between crystal structure prediction and inorganic material synthesis by using our deep AI expertise and high-throughput laborator…",,,2024-11-10,https://www.adzuna.fr/land/ad/4933424198?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=3F03472FB87F97375D2A2A7D93141007E872C8D5
AI Research Scientist,Harnham,"Aix-en-Provence, Bouches-du-Rhône","AI Research Scientist Up to 65K€ Aix-En-Provence CDI En tant qu’AI Research Scientist, vous serez directement rattaché au Chief Scientific Officer et aurez un rôle essentiel dans la construction, l’optimisation et l’utilisation de systèmes basés sur des graphes, tout en supervisant le déploiement de solutions de machine learning. Vos missions : Développement et optimisation : Concevoir et affiner des systèmes d’intelligence artificielle, en mettant l’accent sur l’architecture de graphes pour ré…",,,2024-11-08,https://www.adzuna.fr/land/ad/4930895620?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=B90FCF50A56E5B53A05067C09C256CBE3FABCA81
"AI/ML/MLOps Engineer (Cloud, GenAI Focus)",DataGalaxy,"Auvergne-Rhône-Alpes, France","Who we are: Founded in Lyon, France, in 2015, DataGalaxy has become the leading data catalog in France, connecting data, people, and AI through an intuitive data governance platform. Our mission is to simplify metadata mapping, management, and knowledge sharing to enhance organizational data governance and data literacy. With over 170 clients worldwide and rapidly growing, we are making significant strides in the US market, with the ambition to become a top 3 player in the data catalog space. O…",permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928477887?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=BD948C0837960A59CBBCA1C5B62EE136466BAB3A
Leader technique AI & MLOps R&D (H/F),ATOS FRANCE,"Auvergne-Rhône-Alpes, France",Eviden est le leader européen du High Performance Computing et délivre des solutions de Calcul Haute Performance et d'Intelligence Artificielle parmi les plus performantes au monde permettant de résoudre les problèmes scientifiques les plus complexes d'aujourd'hui et de demain. Nos équipes de R&D Software basées en partie au cœur des Alpes développent des produits et solutions avancées afin de faire converger Intelligence Artificielle et Supercalcul et préparer les ruptures technologiques pour …,permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928476042?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=2A58077FA8F8B9D8DD56682F8E2E7C907F897546
Senior Support Engineer AI - REMOTE f/m,Ansys,"Ile-de-France, France","Requisition : 14897 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between design and reality with Ansys simulation. For more than 50 years, Ansys software has enabled innovators across industries to push boundaries by using the predictive power of simulation. From sustainable transportation to advanced semiconductors, from satellite systems to life-saving medical devices, the n…",permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928470960?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=9720324E0550E1D86839023F72E6447B39A5A492
Lead Product Design – Mobile / AI (F/H),CELAD,"Auvergne-Rhône-Alpes, France","Description du poste CDI (42-55K€) / Freelance / Portage Salarial – 3 jours de télétravail / semaine – Lyon – Expérience de 5 ans minimum Vous aimez créer des expériences mobiles impactantes et intuitives, et l’IA vous passionne ? Nous avons peut-être votre prochain défi  Nous poursuivons notre développement et recherchons actuellement un.e Lead Product Design – Mobile / AI pour accompagner un de nos clients. Ce qui vous attend : concevoir des interfaces modernes, axées utilisateur, qui marient…",permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928471799?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=8208F789DA3B8EBC82961D13EA154F41812D84CE
Lead Product Design – Mobile / AI (F/H),CELAD,"Auvergne-Rhône-Alpes, France","Description du poste CDI (42-55K€) / Freelance / Portage Salarial – 3 jours de télétravail / semaine – Lyon – Expérience de 5 ans minimum Vous aimez créer des expériences mobiles impactantes et intuitives, et l’IA vous passionne ? Nous avons peut-être votre prochain défi  Nous poursuivons notre développement et recherchons actuellement un.e Lead Product Design – Mobile / AI pour accompagner un de nos clients. Ce qui vous attend : concevoir des interfaces modernes, axées utilisateur, qui marient…",permanent,,2024-11-06,https://www.adzuna.fr/land/ad/4928472970?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=91C9A1A77CB6741E6B5BBC09EA39DB33F2F3250B
Senior AI Product Manager,Saint-Gobain,"Courbevoie, Nanterre","Saint-Gobain Distribution France (SGDBF) est à la recherche d'un Product Manager expérimenté pour renforcer son équipe Data Science dans un contexte de croissance rapide des projets AI au sein de l'organisation. Créée en 2019, l'équipe Data Science est composée de Product Managers, Data Scientists et Business Analysts, et est encadrée par un binôme Product x Data Scientist expérimentés. Avec plus d'une dizaine de projets en production, sur des problématiques variées (supply chain, pricing, offr…",permanent,,2024-09-20,https://www.adzuna.fr/land/ad/4870283034?se=tKkIxTGn7xGAhzdUnRtGHQ&utm_medium=api&utm_source=e74b959f&v=9338885F2F484CC12EFBA722CC455673FB125A7F
