intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire,description
ALTERNANT GRAPHISTE (H/F),Communication / Multimédia,W4TCH,Île-de-France,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JNRF,35H Travail en journée Salaire brut : Mutuelle,"1. PRESENTATION DE L'ENTREPRISE W4TCH TV :
Chez W4TCH TV, nous repoussons les frontières de l'innovation dans le domaine des médias et du divertissement numérique. Forts de plusieurs années..."
Journaliste juridique (F/H/X) (H/F),Communication / Multimédia,EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JLMJ,35H Autre Salaire brut : selon profil,"Infopro Digital, groupe B2B spécialisé dans l'information et la technologie, recherche actuellement un(e) Journaliste juridique en CDI pour renforcer l'équipe rédaction d'Achatpublic.com...."
Chargé de Communication (h/f),Communication / Multimédia,ADECCO,Île-de-France,Intérim,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JKVB,35H Travail en journée Salaire brut : Annuel de 34000.0 Euros à 40000.0 Euros sur 12.0 mois,"LHH Recruitment Solutions, cabinet de conseil en recrutement, intérim spécialisé, management de transition, et évaluation d'expert.e.s, cadres et dirigeant.e.s, recherche pour son client, un Chargé..."
Assistant communication (H/F),Communication / Multimédia,CAISSE ALLOCATIONS FAMILIALES VAL D'OISE,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JKDK,36H Autre Salaire brut : Horaire de 12.00 Euros,"Au sein de l'équipe dédiée à la communication (4 personnes), rattachée directement à la Direction Générale, vous apprendrez et participerez à toutes les actions de communication interne et externe...."
Chargé / Chargée de Communication et Marketing (H/F),Communication / Multimédia,CHATEAU MONTIFAUD,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JJGP,39H Autre Salaire brut : Mensuel de 3000.0 Euros à 3500.0 Euros sur 13.0 mois,"Nous sommes à la recherche de notre prochain talent pour accompagner l'entreprise et ses 3 marques avec créativité et dynamisme !
Pour qui vous allez travailler ?  Le Château Montifaud, une..."
Régisseur / Régisseuse d'évènementiel (H/F),Communication / Multimédia,ALES AGGLOMERATION,Occitanie,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JJFC,35H Autre Salaire brut : Selon grille de la FPT,"Description du poste :
Alès Agglomération,  un territoire de 72 communes et 142 000 habitants, recherche un Régisseur Évènementiel dans le cadre de l'organisation des activités festives, sportives et..."
Pigiste journal en ligne sur Mulhouse et département 68 (H/F),Communication / Multimédia,INFORMATION-PLURALISME-DEBAT CITOYEN,Grand Est,CDI,Temps partiel,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHXS,temps partiel - 5H Autre Salaire brut : Piges à partir de 54 euros min.,"Vous êtes un-e passionné-e d'actualité, avec une sensibilité marquée pour les sujets sociaux et environnementaux. Vous êtes autonomes, et capables de vous organiser pour recueillir des informations..."
Chargé(e) de communication en alternance (H/F),Communication / Multimédia,BELLAVIDA,Île-de-France,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHWC,"35H Autre
alternance avec l'école Salaire brut : rémunération selon age et formation","nous recherchons un(e) Chargé de communication (h/f) dans le cadre de la préparation d'une formation en Alternance - Diplôme de Niveau 5 « BTS Communication». 

Le poste : 
Vous concevez et organisez..."
Directeur.trice de Projets en Transformation Digitale (H/F),Conseil / Etudes,HERDIA,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBBR,35H Travail en journée Salaire brut : Annuel de 60000.0 Euros à 80000.0 Euros sur 12.0 mois,"En tant que Directeur.trice de Projet en Transformation Digitale vous piloterez divers projets motivants et stratégiques pour nos clients :

Vous interviendrez en clientèle pour réaliser les..."
Chef.fe de projet Mobilité (H/F),Conseil / Etudes,MOVE IN,Bretagne,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYVC,39H Travail en journée Salaire brut : Annuel de 27600.0 Euros à 32000.0 Euros sur 12.0 mois,"Pionnier dans l'industrie de la mobilité, le groupe Mobilitas est aujourd'hui l'un des leaders mondiaux grâce à une vision innovante portée par ses dirigeants depuis près d'un demi siècle. En gardant..."
Agent recenseur / Agente recenseuse (H/F),Conseil / Etudes,MAIRIE,Bretagne,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYFH,35H Autre Salaire brut : Selon le nombre de recensement,"La commune de Thorigné-Fouillard recrute pour la période du 16 janvier au 15 février 2025, 14 agents recenseurs chargés de déposer puis de collecter chez les administrés les imprimés de recensement..."
Chargé(e) de justification des contrats de recherche / formation (H/F),Conseil / Etudes,UNIVERSITE DE STRASBOURG,Grand Est,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JXHY,37H30 Travail en journée Salaire brut : CATEGORIE B TECHNICIEN,"CDD 12 mois
Démarrage à compter du 1er février 2025
Affectation : Direction de la Recherche et de la formation Doctorale

--

Catégorie : B Corps/grade : Technicien
Statut : agent contractuel..."
1 conseiller.ère formateur.trice (H/F),Conseil / Etudes,BGE FRANCHE COMTE,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWJK,39H Travail en journée Salaire brut : Chèque repas,"BGE Franche-Comté recrute un conseiller.ère formateur.trice en accompagnement à la création et reprise d'entreprise pour son antenne de Belfort. 
 
MISSIONS 

Au sein de notre équipe, vous serez en..."
Agent recenseur / Agente recenseuse (H/F),Conseil / Etudes,COMMUNE DE VITRY SUR SEINE,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JWHC,35H Station debout prolongée Salaire brut : Rémunération aux bulletins collectés,"Appel à candidatures : Agents recenseurs
Dans le cadre du recensement de la population, la mairie recrute des agents recenseurs pour effectuer l'enquête sur le terrain
Du 8 janvier au 24 février..."
Chargé de stratégie (H/F),Conseil / Etudes,CEAPIC,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JTHF,35H Autre Salaire brut : Mensuel de 1850.0 Euros sur 12.0 mois,"CEAPIC est un laboratoire dynamique basé à SOISY SOUS MONTMORENCY (95), en plein développement, fournissant des prestations de contrôle de la qualité de l'air.

Nous recherchons un/une Chargé(e) de..."
Enquêteur (H/F),Conseil / Etudes,PARTNAIRE,Provence-Alpes-Côte d'Azur,Intérim,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JSYZ,temps partiel - 24H Travail en journée Salaire brut : Horaire de 11.88 Euros à 11.88 Euros sur 12.0 mois,"Votre agence PARTNAIRE de Nice, acteur majeur dans le recrutement CDD/CDI/Intérim, recherche pour l'un de ses clients, entreprise nationale spécialisée dans les enquêtes de terrain, 5 enquêteurs..."
Chargé de mission RSE (H/F),Conseil / Etudes,SONERGIA,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JSXS,37H Autre Salaire brut : Selon profil,"Implantée à Marseille depuis 2009, SONERGIA s'est fixée pour objectif de rendre les économies d'énergie possibles. Notre rôle est de conseiller les consommateurs d'énergie (ménages, entreprises,..."
Consultant Maintien dans l'Emploi F/H à Chambéry (H/F),Conseil / Etudes,GROUPE JLO,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JSTM,39H Travail en journée Salaire brut : Selon profil,"Le Groupe JLO, filiale du Groupe de Protection Sociale Apicil, est un cabinet de conseil en Ressources Humaines, expert des thématiques RH émergentes et de l'innovation sociale.
Acteur majeur du..."
Agent recenseur / Agente recenseuse,Conseil / Etudes,974 - STE SUZANNE,La Réunion,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JQTC,35H Autre Salaire brut : Horaire de 11.88 Euros,"Principales activités : 

- Collecter des informations ciblées des ménages
- Interroger le public à l'aide de questionnaires préétablis en mode interview
- Classer, ranger et remettre au..."
Chargé(e) de mission Développement de projets et animation (H/F),Conseil / Etudes,AGENCE LOCALE DE L'ENERGIE BRETAGNE SUD,Bretagne,CDD,Temps partiel,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JNCS,temps partiel - 32H Travail en journée Salaire brut : Mensuel de 1834.0 Euros sur 12.0 mois,"ALOEN, l'Agence Locale de l'Energie et du Climat de Bretagne Sud, est une association loi 1901. Elle a été fondée en 2005 à l'initiative de Lorient Agglomération, de l'ADEME Bretagne et du Conseil..."
Responsable Opérationnel.le (H/F),Conseil / Etudes,ASSOCIATION UNIS-CITE,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JLXF,35H Autre Salaire brut : Mensuel de 2916.0 Euros sur 12.0 mois,"Management d'équipe

Assurer l'encadrement, le suivi, le soutien de l'équipe de Coordinateur.ices d'Equipes et de Projets (9 salarié.e.s en charge de coordonner chacun.e 1 à 3 programmes d'engagement..."
Chef de projet Customer Success Performance H/F (H/F),Conseil / Etudes,LECTRA,Nouvelle-Aquitaine,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JLGZ,35H Travail en journée Salaire brut : Annuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,"Rattaché(e) à l'équipe Customer Success Performance, vous participez au suivi opérationnel de la performance des équipes Customer Success au Corporate et dans nos filiales (34 au travers le..."
RESPONSABLE D'INTERVENTION (H/F),Conseil / Etudes,ALSYMEX,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHCQ,35H Autre Salaire brut : Selon profil & expérience,"MISSIONS 
Le responsable d'intervention a la responsabilité de gérer, planifier et coordonner les interventions et chantiers chez les clients de son périmètre 
Vous serez intégré(e) à l'équipe..."
Charge de projets (H/F),Conseil / Etudes,PROMAN,Provence-Alpes-Côte d'Azur,Intérim,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JGHT,35H Autre Salaire brut : Horaire de 14.05 Euros sur 12.0 mois,"Le poste :
Votre agence PROMAN Brignoles recherche pour l'un de ses clients un chef de projets H/F. Vos missions consisteront à : -analyser les besoins relatifs aux dossiers confiés; 
-réaliser les..."
Responsable de la cellule conventions de formations F/H (H/F),Conseil / Etudes,UVSQ,Île-de-France,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JDDH,37H30 Travail en journée Salaire brut : Mensuel de 2407.0 Euros sur 12.0 mois,"Au sein de la Direction Transverse Formations et Vie Universitaire (DTFVU), vous travaillerez au sein d'une cellule en charge des conventions formations. La direction transverse regroupe l'ensemble..."
Chef de projets RSE (H/F),Conseil / Etudes,THALASSO N 1,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JCLH,39H Autre Salaire brut : 2900,"Ôvoyages - Thalasso n°1 est un tour opérateur français, acteur majeur du tourisme au savoir-faire reconnu et indépendant depuis près de 25 ans. Chaque année, plus de 350 000 clients nous font..."
Technicien bureau d'études (H/F),Conseil / Etudes,MANPOWER,Auvergne-Rhône-Alpes,Intérim,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JBMV,35H Autre Salaire brut : Horaire de 12.0 Euros à 14.0 Euros sur 12.0 mois,"Mon client est une société de fabrication d'outils coupants pour le bois: lames de scies (à rubans, circulaire acier, circulaire carbure, alternative, ... 
 
Rattaché au responsable département..."
Responsable commercial agence (H/F),Direction d'entreprise,POINT P,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBWC,35H Travail en journée Salaire brut : Mensuel de 2200.0 Euros à 3200.0 Euros sur 12.0 mois,"POINT P recrute un/une Responsable commercial agence

Votre mission ? Être un véritable commerçant, animer l'équipe de vente au comptoir et garantir la satisfaction client ! 

Les Hommes
Animer et..."
Un(e) Directeur(trice) général(e) (H/F),Direction d'entreprise,CC SUD ALSACE LARGUE,Grand Est,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZCX,35H Autre Salaire brut : Grille indiciaire,"A l'entrée du Sundgau, la communauté de communes Sud Alsace Largue vous ouvre les portes d'une Alsace authentique et préservée, aux frontières du territoire de Belfort et du Jura Suisse. Territoire..."
Responsable d'agence d'intérim (H/F),Direction d'entreprise,CONSULT RH,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JTVV,35H Travail en journée Salaire brut : Annuel de 45000.0 Euros à 90000.0 Euros sur 12.0 mois,"Consult Rh, cabinet de recrutement, recherche pour l'un de ses clients UN DIRECTEUR D'AGENCE D'INTERIM (F/H)

Dans le cadre de la création de l'agence, vous êtes en charge des missions suivantes :..."
Directeur / Directrice de centre de profit (H/F),Direction d'entreprise,LES NOUVELLES ROUTINES,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JPTT,39H Autre Salaire brut : Annuel de 40000.0 Euros à 46000.0 Euros sur 12.0 mois,"Rejoignez une enseigne dynamique et engageante, où la performance rime avec esprit d'équipe et satisfaction client !

Vous êtes un(e) leader dans l'âme, passionné(e) par le commerce et animé(e) par..."
DIRECTEUR DE CENTRE (H/F),Direction d'entreprise,ALMO RH,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JKCV,35H Autre Salaire brut : Annuel de 40000.0 Euros à 46000.0 Euros sur 12.0 mois,"Mission :
Vous êtes garant de la réalisation des objectifs économiques (chiffre d'affaires, marge, RI et stocks) du centre par le management et l'animation des équipes dans le respect des politiques..."
RESPONSABLE D'AGENCE BTP (H/F),Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Grand Est,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JKCJ,37H Travail en journée Salaire brut : Annuel de 30000.0 Euros à 45000.0 Euros sur 12.0 mois,"On a un bon plan pour votre carrière .... 
Vous êtes un pro du BTP, nous sommes des pro du recrutement, posons ensemble les fondations de votre carrière.
Nous vous proposons de prendre la direction..."
RESPONSABLE D'AGENCE (H/F),Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Hauts-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHZC,37H Travail en journée Salaire brut : Annuel de 25000.0 Euros à 35000.0 Euros sur 12.0 mois,Devenez le pilier de notre équipe gagnante ! Le groupe Partnaire est à la recherche de son futur Capitaine d'Équipe Olympique en tant que Responsable d'agence (H/F) pour son agence de Wasquehal (59)...
RESPONSABLE D'AGENCE (H/F),Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Grand Est,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHWZ,37H Travail en journée Salaire brut : Annuel de 25000.0 Euros à 35000.0 Euros sur 12.0 mois,Devenez le pilier de notre équipe gagnante ! Le groupe Partnaire est à la recherche de son futur Capitaine d'Équipe Olympique en tant que Responsable d'agence (H/F) pour notre future agence nucléaire...
RESPONSABLE D'AGENCE (H/F),Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Hauts-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185JHSK,37H Travail en journée Salaire brut : Annuel de 30000.0 Euros à 40000.0 Euros sur 12.0 mois,Devenez le pilier de notre équipe gagnante ! Le groupe Partnaire est à la recherche de son futur Capitaine d'Équipe Olympique en tant que Responsable d'agence BTP (H/F) pour notre agence de Lille...
RESPONSABLE POLE INTERVENTIONS (H/F),Direction d'entreprise,ALMO RH,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HZDT,35H Autre Salaire brut : Annuel de 60000.0 Euros à 70000.0 Euros sur 12.0 mois,"Description de la mission

La Direction des Bâtiments et de l'Architecture assure les missions de construction et d'entretien du patrimoine de la collectivité. Pour y répondre, elle est composée de..."
Responsable d'agence de travail temporaire,Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Pays de la Loire,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HYNJ,35H Autre Salaire brut : Annuel de 30000.0 Euros à 35000.0 Euros sur 12.0 mois,"Nous recherchons au sein du groupe Partnaire, un Responsable d'Agence (H/F) sur Le Mans (72) pour rejoindre notre agence ADEVA. 
Sous la bannière du Directeur Régional, vous prendrez en main la..."
Responsable d'agence de travail temporaire,Direction d'entreprise,SOCIETE DE FORMATIQUE ET FINANCIERE,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HYJH,37H Autre Salaire brut : Annuel de 30000.0 Euros à 45000.0 Euros sur 12.0 mois,"On a un bon plan pour votre carrière ....!

Nous vous proposons de prendre la direction de notre agence de Clermont-Ferrand (63) dès que possible.

Après une intégration et des formations à notre..."
Responsable de sites Paris (H/F),Direction d'entreprise,TINGARI,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HWMN,36H30 Autre Salaire brut : Annuel de 37000.0 Euros à 42000.0 Euros sur 12.0 mois,"RESPONSABLE DE SITE H/F

Nous recherchons un Responsable de site avec la conviction que chaque personne a un potentiel unique et que nul n'est inemployable.  
Découvrez la mission que nous vous..."
Responsable de sites Paris (H/F),Direction d'entreprise,TINGARI,Île-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HWKH,36H30 Autre Salaire brut : Annuel de 37000.0 Euros à 42000.0 Euros sur 12.0 mois,"RESPONSABLE DE SITE H/F

Nous recherchons un Responsable de site avec la conviction que chaque personne a un potentiel unique et que nul n'est inemployable.  
Découvrez la mission que nous vous..."
Responsable d'établissement marchand (H/F),Direction d'entreprise,Lkcompetency,Île-de-France,CDD,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HSRX,35H Travail en journée Salaire brut : Mensuel de 1200.0 Euros sur 12.0 mois,"Dans le respect des réglementations en vigueur et de la stratégie commerciale de l'enseigne, le
responsable d'établissement marchand pilote l'activité de l'établissement marchand afin de contribuer
à..."
Responsable d'Agence Espaces Verts (H/F),Direction d'entreprise,SIGMA TALENT,Hauts-de-France,CDI,Temps plein,2024-12-11,https://candidat.pole-emploi.fr/offres/recherche/detail/185HSFB,35H Autre Salaire brut : Salaire selon expérience,"Vous êtes passionné(e) par les espaces verts et recherchez un nouveau défi ? Nous cherchons pour notre client, une entreprise reconnue dans le domaine de l'aménagement paysager, un(e) Responsable..."
Paysagiste (H/F) Junior ou Confirmé(e),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,ADEQUAT INTERIM,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCKS,35H Travail en horaires décalés Salaire brut : Mensuel de 2750.0 Euros à 3300.0 Euros sur 12.0 mois,"Notre agence Adéquat de Saint-Ouen-l'Aumône recherche pour un de nos client basé à Champagne-sur-Oise (95) un Paysagiste Junior ou Confirmé.

Vos Missions :
- Travailler en binôme pour réaliser des..."
Chef de mission adjoint santé animale (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,CONSEIL DEPARTEMENTAL JURA 39,Bourgogne-Franche-Comté,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCJD,39H Travail en journée Salaire brut : Chèque repas,"Engagé en faveur de l'égalité des droits et des chances, le Département du Jura souhaite prévenir les discriminations et promouvoir la diversité.
Le Département du Jura (1300 agents permanents, 365,6..."
Agent / Agente d'entretien des espaces verts (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,MAIRIE d'HAUTVILLERS,Grand Est,Saisonnier,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHZ,35H Travail en journée Salaire brut : Horaire de 11.88 Euros sur 0.0 mois,Recrutement prévu le 17/02/2025 - Travaux d'entretien des espaces verts avec utilisation du matériel technique et occasionnellement travaux d'entretien et de nettoyage des espaces publics et des...
Ouvrier viticole / Ouvrière viticole (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,GROUPEMENT D EMPLOYEURS 4 SAISONS,Occitanie,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBN,35H En extérieur Salaire brut : 11.88 + panier 6.75/jr(a partir 7h),"Dans le cadre de ces travaux d'hiver, vous serez amené à effectuez des tâches telles que :

- TOMBEE DES BOIS

- LIAGE 

Plusieurs lieux d'interventions : LE HOUGA - RISCLE - EAUZE - NOGARO selon..."
Jardinier / Jardinière chef d'équipe (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,LOVERA ESPACES VERTS,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBTW,35H Autre Salaire brut : 1800€ net mensuel NEGOCIABLE,"Dans le cadre du développement de notre activité, nous recherchons un(e) personne pour encadrer une équipe de 2 personnes sur des activités d'entretien de jardins au sein de propriétés sur le Golfe..."
Porcher/Porchère (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,EARL HINAULT,Bretagne,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBTN,39H Autre Salaire brut : Chèque repas,"Nous sommes à la recherche d'un(e) Porcher/Porchère pour rejoindre notre équipe. Vous serez responsable de l'entretien et du bien-être des animaux, en veillant à leur santé et à leur..."
Jardinier / Jardinière Débutant A (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,LOVERA ESPACES VERTS,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBTB,35H Autre Salaire brut : 1600€ net mensuel NEGOCIABLE,"Dans le cadre du développement de notre activité et de notre équipe, nous recherchons un(e) jardinier(e) pour intervenir exclusivement sur de l'entretien (taille de haies, tonte, etc...) dans des..."
Bûcheron (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,INISTE RH,Bretagne,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBNT,35H Travail en journée Salaire brut : Annuel de 21622.0 Euros à 26622.0 Euros sur 12.0 mois,"Aquila RH Ploërmel, agence de Recrutement, vous accompagne dans votre recherche d'emploi en intérim, CDD et CDI.
Nathalie et Sandrine sont à votre écoute pour échanger sur votre parcours et vos..."
JARDINIERS ESPACES VERTS  DEBUTANT (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,LES JARDINIERS DU GOLFE,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZNS,35H Autre Salaire brut : Mensuel de 1801.8 Euros sur 12 mois,"Société de Jardins dans le golfe de Saint Tropez , recherche pour renforcer ses équipes d'entretiens une personne débutante ou qualifiée.

Elle sera chargée des tâches telles que la taille de..."
Gestionnaire mouvement intervention,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,CRIT INTERIM,Île-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZHJ,35H Travail en journée Salaire brut : Mensuel de 2500.0 Euros à 2900.0 Euros sur 12.0 mois,"Dans le cadre du développement de son activité, nous recherchons pour notre client, spécialisé dans la gestion des énergies, un.e Gestionnaire mouvement intervention pour un contrat en intérim de 2..."
Ouvrier / Ouvrière paysagiste (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,SARL LES JARDINS DE FLORA,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZGL,39H Autre Salaire brut : Selon profil,"Vous réalisez les travaux d'entretien chez des particuliers ou des professionnels:

- entretien des jardins
- nettoyer les massifs
- tonte
- taille des végétaux

Les déplacements sont effectués avec..."
Ouvrier  pépiniériste débutant accepté A (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,SARL PEPINIERE DU GOLFE,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZDY,35H Autre Salaire brut : Mensuel de 1801.8 Euros sur 12 mois,"Au sein d'une pépinière dans le golfe de St Tropez vous êtes en charge des activités suivantes : 
-Mise en place et aide aux travaux de manutention
-Soins aux végétaux
-Conseils auprès de la..."
Ouvrier / Ouvrière agricole en production équine (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,CENTRE HIPPIQUE MANCY,Bourgogne-Franche-Comté,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYXW,35H Autre Salaire brut : Selon convention collective,"L'exploitation agricole de Mancy à Lons-le-Saunier (39) recherche un ouvrier agricole en production équine, en CDD de 12 mois - 35h hebdomadaires. Poste à pourvoir au 1er mars. Salaire selon..."
Arboriste-Grimpeur (H/F) en SCOP,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,ABOUTIR EMPLOI EST,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYXG,37H Autre Salaire brut : Mensuel de 2500.0 Euros à 3300.0 Euros sur 12.0 mois,"Vous êtes Elagueur-grimpeur/grimpeuse ? Vous êtes en veille ou à la recherche d'une Entreprise qui porte vos valeurs, reconnait vos compétences et vous offre l'opportunité d'être salarié.e associé.e..."
Performance Leader  F/H,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,PARTNAIRE,Île-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYWG,35H Autre Salaire brut : Annuel de 35000.0 Euros à 40000.0 Euros sur 12.0 mois,"Votre agence Partnaire de Franconville, vous accompagne aujourd'hui et demain dans votre reprise d'activité ! 

Véritable pôle Tertiaire, nous donnons vie à vos ambitions professionnelles..."
Contrôleur (H/F),Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,TEAM CDI,Île-de-France,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYTV,35H Travail en journée Salaire brut : Horaire de 12.0 Euros à 15.0 Euros sur 0.0 mois,"Nous avons un nouveau besoin de personnel en tant que câbleur électronique dans le secteur de l'industrie.

 Réaliser les travaux de contrôle de conformité des produits ou sous-ensembles fabriqués..."
Chef de chantier de travaux agricoles,Espaces verts et naturels / Agriculture / Pêche / Soins aux animaux,GRAINES & COMPETENCES,Auvergne-Rhône-Alpes,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYTS,35H Travail en journée Salaire brut : Annuel de 30000.0 Euros à 33000.0 Euros sur 12.0 mois,"Devenez Chef de Chantier Paysagiste en Création et façonnez des paysages uniques ! 

Vous avez une passion pour les aménagements paysagers et un talent pour coordonner des chantiers ? Ce poste clé..."
