intitulé,catégorie,entreprise,localisation,type_contrat,temps_contrat,date_publication,url,salaire,description
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCCW,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBX,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBG,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Couvreur zingueur / Couvreuse zingueuse,Bâtiment / Travaux Publics,LA COMPAGNIE DES TOITS,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBD,39H Autre Salaire brut : Mensuel de 30000 Euros à 40000 Euros sur 12 mois,"Couvreur-Zingueur (H/F)
La Compagnie des Toits - Agence Cote d'or


La Compagnie des Toits, réseau expert des toits professionnels, recherche pour son agence de Secteur des couvreurs-zingueurs.
Si..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBZM,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Agent de fabrication de l'industrie du béton (H/F),Bâtiment / Travaux Publics,AQUILA RH,Bretagne,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBYV,35H Travail en journée Salaire brut : Horaire de 12.0 Euros à 12.0 Euros sur 12.0 mois,"AQUILA RH VANNES INDUSTRIE, agence de recrutement CDD, CDI et intérim, recherche un Agent de fabrication Béton (H/F).


Vos missions:
- Identifier la configuration et le dimensionnement d'un moule,..."
Technicien en Diagnostics Immobiliers (F/H) - Alternance    (H/F),Bâtiment / Travaux Publics,UP N PRO,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBYL,35H Travail en journée Salaire brut : Mensuel de 707.6 Euros à 1645.58 Euros sur 12.0 mois,"Diagnostiqueur immobilier - Formation BAC + 2 en alternance - En 1 an ou 2 ans -- H/F

RESUME DE L'OFFRE DE FORMATION ID SCHOOL : 

- Ton profil : appétence pour le domaine du bâtiment et de..."
Poseur/poseuse de salle de bains (H/F),Bâtiment / Travaux Publics,R.PROJET BAT,Bourgogne-Franche-Comté,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBXZ,39H Autre Salaire brut : Horaire de 11.88 Euros sur 12 mois,"Nous sommes une très petite entreprise spécialisée dans la rénovation tout corps d'état. Basée à Montferrand-le-Château, notre passion pour la rénovation de qualité et notre engagement envers la..."
RESPONSABLE DE LOCATION H/F,Commerce / Vente,ADEQUAT INTERIM ET RECRUTEMENT,Pays de la Loire,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLR,35H Travail en horaires décalés Salaire brut : Mensuel de 1833.0 Euros à 2250.0 Euros sur 12.0 mois,Notre agence Adéquat des Herbiers recrute des nouveaux talents : RESPONSABLE DE LOCATION H/F chez notre client spécialisé dans le secteur d'activité de la location et location-bail de machines et...
Téléconseiller / Téléconseillère,Commerce / Vente,ADELYCE,Occitanie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCLG,37H Travail en journée Salaire brut : Horaire de 12.2 Euros sur 0.0 mois,"Téléconseiller (H/F)


Adelyce, la petite boîte qui monte

Editeur français, indépendant, basé à Toulouse, Adelyce est leader du pilotage de la masse salariale publique.
Avec une offre Saas originale..."
Conseiller vendeur (H/F),Commerce / Vente,ORANGE,Occitanie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHY,35H Travail en journée Salaire brut : Primes,"Bienvenue chez Orange Store, une entreprise dynamique et innovante qui fait partie des Meilleurs Employeurs de France 2023 !

Rejoignez les 3000 conseillers(ères) de vente, répartis dans plus de 300..."
Boulanger / Boulangère,Commerce / Vente,LE THEATRE DU PAIN,Grand Est,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHP,39H Travail en horaires décalés Salaire brut : Primes,"Vous travaillerez en tant que boulanger dans le cadre d'un CDI à temps complet dans notre boulangerie a metz centre

Rigoureux et organisé, vous êtes idéalement expérimenté et issu du domaine de..."
Vendeur / Vendeuse buraliste (H/F),Commerce / Vente,89 - SENS,Bourgogne-Franche-Comté,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCHC,temps partiel - 24H Autre Salaire brut : Horaire de 11.88 Euros à 12.40 Euros sur 12 mois,"Nous recherchons un/e Vendeur / Vendeuse buraliste pour notre établissement. Sous la responsabilité du gérant, vous aurez pour missions :
- Accueillir et renseigner les clients
- Réaliser la vente..."
Caissier / Caissière     (H/F),Commerce / Vente,INTERMARCHE,Occitanie,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCCC,35H Travail en journée Salaire brut : Horaire de 11.88 Euros sur 12.0 mois,"Au sein de notre supermarché vous aurez en charge l'enregistrement des ventes et l'encaissement des produits et articles.

Travail lundi au samedi pas de travail le dimanche (SAUF période..."
Boulanger/Boulangère (H/F),Commerce / Vente,LEKLA GARCHES,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KCBM,"40H Autre
disponible le week-end. Salaire brut : Mensuel de 3200.00 Euros à 3200.00 Euros sur 12 mois","Rejoignez notre boulangerie-pâtisserie artisanale à Garches (92)? nous sommes à la recherche d'un (e) boulanger(ère)dans un environnement moderne et convivial, où l'excellence des produits et la..."
Responsable de Rayon  H/F (H/F),Commerce / Vente,ANIMALIS,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBZZ,35H Autre Salaire brut : Mensuel de 1880.0 Euros à 1881.0 Euros sur 12.0 mois,"Nous recherchons activement pour notre magasin à MERIGNAC un ou une Responsable de Rayon en animalerie.

Vos futures missions : 

 * Vous accompagnerez le client dans sa recherche de produit et de..."
Vendeur en animalerie H/F (H/F),Commerce / Vente,ANIMALIS,Nouvelle-Aquitaine,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBZC,35H Autre Salaire brut : Mensuel de 1802.0 Euros à 1803.0 Euros sur 12.0 mois,"Nous recherchons activement pour notre magasin à MERIGNAC un ou une Vendeur(se) en animalerie.

Vos futures missions : 

 * Vous accompagnerez le client dans sa recherche de produit et de service au..."
Boucher (H/F) -  Contrat durant les vacances de Noël,Commerce / Vente,RUELLAN PERE ET FILS TRAITEUR,Bretagne,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBYZ,42H Autre Salaire brut : Mensuel de 3205.00 Euros sur 12 mois,"RUELLAN TRAITEUR recherche un boucher (H/F) pendant les vacances de Noël. 
Vous travaillerez en équipe avec le boucher en poste et les cuisinier(es)."
Employé polyvalent / Employée polyvalente de libre-service,Commerce / Vente,ACTION,Normandie,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBXR,35H Autre Salaire brut : Horaire de 11.88 Euros sur 12 mois,"Vos missions : 

- mise en rayon des différents produits
- caisse
- entretien du magasin"
Vendeur / vendeuse en boulangerie (H/F),Commerce / Vente,BONNIN FRERES,Pays de la Loire,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBWV,35H Autre Salaire brut : Horaire de 12.00 Euros à 12.19 Euros,"Horaires en continu matin ou après-midi
Secteur angles
Travail en binôme
35 h semaine 
Tâches : 
- ouverture et  fermeture caisse
- passage des commandes journalières
- entretien de la salle et de la..."
Vendeur en chocolaterie (H/F),Commerce / Vente,MAKDAMIA,Île-de-France,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBVK,temps partiel - 20H Autre Salaire brut : Mensuel de 1029.6 Euros sur 12 mois,"Dans une boutique à proximité de la Tour Eiffel, vos missions principales seront: 

- Réaliser des ventes du chocolats et macarons à la clientèle (majoritairement étrangère) 
- Procéder à..."
Chef de projet Signalisation Ferroviaire H/F,Commerce / Vente,NGE,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBVG,35H Travail en journée Salaire brut : Annuel de 35000.0 Euros à 45000.0 Euros sur 12.0 mois,"Intégrer TSO Signalisation, c'est rejoindre une filiale du Groupe NGE en plein essor spécialisée en génie civil et électrique de signalisation, agents SE, télécoms et signalisation mécanique.

En..."
Vendeur / Vendeuse en prêt-à-porter (H/F),Commerce / Vente,A L'OMBRE DES MARQUES,Pays de la Loire,CDI,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBTP,temps partiel - 30H Travail en journée Salaire brut : Annuel de 21622.0 Euros à 23500.0 Euros sur 12.0 mois,"Pour notre magasin d'Angers nous recrutons un(e) Conseiller(ère) de Vente en prêt-à-porter en CDI en temps partiel 30h/semaine, poste à pourvoir au 23/12/2024.

Salaire variable en fonction du..."
Responsable Libre-Service (H/F),Commerce / Vente,POINT P,Île-de-France,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBSN,35H Travail en journée Salaire brut : Mensuel de 2100.0 Euros à 2400.0 Euros sur 12.0 mois,"POINT P recrute un/une Responsable Libre-Service

 Rejoignez notre équipe en tant que Responsable du libre-service !

Vous êtes passionné par le commerce et l'animation d'équipe ? Ce poste est fait..."
apprenti boulanger H/F,Commerce / Vente,DEUX AMIS,Provence-Alpes-Côte d'Azur,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBSB,35H Autre Salaire brut : selon âge,"Fabrication pains, pains spéciaux.
Possibilité de débuter à partir de 5h du matin.
Vous préparez le CAP Boulangerie"
CHARCUTIER (H/F),Commerce / Vente,2A - BASTELICA,Corse,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBQY,35H Travail en journée Salaire brut : Mensuel de 1802.0 Euros à 1973.0 Euros sur 12.0 mois,"Au sein d'une équipe d'environ 5 personnes, vous effectuerez les différentes étapes de fabrication de la charcuterie Corse (salage, découpe, embossage...) et de découpe de viande de boucherie."
Animateur Commercial (h/f),Commerce / Vente,ADECCO,Bourgogne-Franche-Comté,Intérim,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBPS,35H Travail en journée Salaire brut : Horaire de 11.88 Euros sur 12.0 mois,"Nous sommes à la recherche d'un/e animatrice pour prendre des photos du père noël et des enfants avec un appareil photo polaroid.   


Lieu : Auchan Chatillon sur Seine
Dates : samedi 14 décembre..."
Boucher / Bouchère,Commerce / Vente,ZOUHRI MARKET,Provence-Alpes-Côte d'Azur,CDI,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185KBPR,39H Autre Salaire brut : Mensuel de 2200 Euros sur 12 mois,"Au sein de notre boucherie traditionnelle artisanale orientale, vos missions : 
- réception et contrôle de la viande
- désossage, découpage et mise en rayon
- réaliser des préparations orientales
-..."
Interprète et traducteur bilingue  Arabe/ Français (H/F),Communication / Multimédia,AFG INTERPRETARIAT,Île-de-France,CDD,Temps plein,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JZFL,35H Autre Salaire brut : Mensuel de 2200.00 Euros à 2200.00 Euros sur 12 mois,"Dans le cadre du développement de notre activité, nous sommes à la recherche d'un(e) interprète/traducteur Arabe/ Français (H/F)
Vous avez des connaissances de la culture et de la société de pays..."
CDD - Master Content Face Care - YVES ROCHER (H/F),Communication / Multimédia,Groupe YVES ROCHER,Île-de-France,CDD,Temps partiel,2024-12-12,https://candidat.pole-emploi.fr/offres/recherche/detail/185JYBG,temps partiel - 34H20 Autre Salaire brut : Annuel de 37000.0 Euros sur 12.0 mois,"Voulez-vous faire partie d'une entreprise à mission qui reconnecte les femmes & les hommes à la Nature ?

Prêt(e) à découvrir une nouvelle opportunité au sein du Groupe Rocher ?
Rejoignez la marque..."
